state,naics_sector,motivation,n_firms,n_emp
19,00,To adopt standards and accreditation,145,6207
19,00,Some other reason,491,14161
20,00,To upgrade outdated processes or methods,568,53121
20,00,To automate tasks performed by labor,475,72531
20,00,To improve quality or reliability of processes or methods,715,91421
20,00,To expand the range of goods or services,524,29956
20,00,To adopt standards and accreditation,227,7133
20,00,Some other reason,408,10831
21,00,To automate tasks performed by labor,589,125757
21,00,To upgrade outdated processes or methods,759,79693
21,00,To improve quality or reliability of processes or methods,919,137550
21,00,To expand the range of goods or services,269,47595
21,00,To adopt standards and accreditation,188,13506
21,00,Some other reason,243,5170
22,00,To automate tasks performed by labor,630,118533
22,00,To upgrade outdated processes or methods,786,99849
22,00,To improve quality or reliability of processes or methods,921,157168
22,00,To expand the range of goods or services,355,51188
22,00,To adopt standards and accreditation,133,12183
22,00,Some other reason,232,7508
24,00,To automate tasks performed by labor,1090,96704
24,00,To upgrade outdated processes or methods,1089,89799
24,00,To improve quality or reliability of processes or methods,1593,150469
24,00,To expand the range of goods or services,732,54746
24,00,To adopt standards and accreditation,469,14558
24,00,Some other reason,349,8810
23,00,To automate tasks performed by labor,282,17197
23,00,To upgrade outdated processes or methods,372,10805
23,00,To improve quality or reliability of processes or methods,537,29392
23,00,To expand the range of goods or services,78,4300
23,00,To adopt standards and accreditation,91,1996
23,00,Some other reason,130,5438
25,00,To automate tasks performed by labor,761,168318
25,00,To improve quality or reliability of processes or methods,1540,219276
25,00,To upgrade outdated processes or methods,1149,161890
25,00,To expand the range of goods or services,863,67683
25,00,To adopt standards and accreditation,520,24040
25,00,Some other reason,535,17924
26,00,To automate tasks performed by labor,1333,264828
26,00,To upgrade outdated processes or methods,1444,213165
26,00,To improve quality or reliability of processes or methods,2365,340058
26,00,To expand the range of goods or services,1131,139831
26,00,To adopt standards and accreditation,592,28259
26,00,Some other reason,532,28314
27,00,To automate tasks performed by labor,1110,155317
27,00,To upgrade outdated processes or methods,1664,203251
27,00,To improve quality or reliability of processes or methods,2136,235602
27,00,To expand the range of goods or services,984,80321
27,00,To adopt standards and accreditation,540,27273
27,00,Some other reason,383,41966
28,00,To improve quality or reliability of processes or methods,654,83081
28,00,To expand the range of goods or services,345,19825
28,00,To adopt standards and accreditation,98,3062
28,00,Some other reason,238,9910
28,00,To automate tasks performed by labor,224,64239
28,00,To upgrade outdated processes or methods,380,46854
29,00,To automate tasks performed by labor,754,209273
29,00,To upgrade outdated processes or methods,855,166236
29,00,To improve quality or reliability of processes or methods,1318,250507
29,00,To expand the range of goods or services,339,102952
29,00,To adopt standards and accreditation,157,34797
29,00,Some other reason,557,20044
30,00,To improve quality or reliability of processes or methods,445,22135
30,00,To automate tasks performed by labor,293,14288
30,00,To upgrade outdated processes or methods,315,11298
30,00,To expand the range of goods or services,99,3312
30,00,To adopt standards and accreditation,156,4434
30,00,Some other reason,364,7182
31,00,To automate tasks performed by labor,405,64727
31,00,To upgrade outdated processes or methods,373,41075
31,00,To improve quality or reliability of processes or methods,548,71741
31,00,To expand the range of goods or services,278,14271
31,00,To adopt standards and accreditation,37,1189
31,00,Some other reason,236,10612
32,00,To improve quality or reliability of processes or methods,710,82812
32,00,To automate tasks performed by labor,388,59054
32,00,To upgrade outdated processes or methods,462,38973
32,00,To expand the range of goods or services,364,18266
32,00,To adopt standards and accreditation,153,6080
32,00,Some other reason,390,5990
34,00,To improve quality or reliability of processes or methods,2294,274125
34,00,To expand the range of goods or services,1577,120866
34,00,To adopt standards and accreditation,563,35396
34,00,Some other reason,709,19098
34,00,To automate tasks performed by labor,1333,202053
34,00,To upgrade outdated processes or methods,1932,227365
33,00,To automate tasks performed by labor,363,31378
33,00,To upgrade outdated processes or methods,421,25414
33,00,To improve quality or reliability of processes or methods,370,38036
33,00,To expand the range of goods or services,129,7610
33,00,To adopt standards and accreditation,63,6765
33,00,Some other reason,79,4623
36,00,To automate tasks performed by labor,2224,313210
36,00,To upgrade outdated processes or methods,3168,331043
36,00,To improve quality or reliability of processes or methods,3972,452837
36,00,To expand the range of goods or services,2088,172645
36,00,To adopt standards and accreditation,966,67374
36,00,Some other reason,2052,42190
35,00,To upgrade outdated processes or methods,358,20467
35,00,To automate tasks performed by labor,342,34892
35,00,To improve quality or reliability of processes or methods,468,46319
35,00,To expand the range of goods or services,316,10493
35,00,To adopt standards and accreditation,138,5626
35,00,Some other reason,108,1105
37,00,To upgrade outdated processes or methods,1769,197633
37,00,To automate tasks performed by labor,1506,258882
37,00,To improve quality or reliability of processes or methods,2173,298738
37,00,To expand the range of goods or services,1049,120563
37,00,To adopt standards and accreditation,499,26325
37,00,Some other reason,804,24114
38,00,To upgrade outdated processes or methods,202,15137
38,00,To automate tasks performed by labor,182,18898
38,00,To improve quality or reliability of processes or methods,127,23921
38,00,To expand the range of goods or services,64,8101
38,00,To adopt standards and accreditation,24,1056
38,00,Some other reason,43,2600
39,00,To automate tasks performed by labor,1364,330412
39,00,To upgrade outdated processes or methods,2323,259285
39,00,To improve quality or reliability of processes or methods,2521,402181
39,00,To expand the range of goods or services,1320,137016
39,00,To adopt standards and accreditation,644,48307
39,00,Some other reason,676,31095
40,00,To automate tasks performed by labor,709,95027
40,00,To upgrade outdated processes or methods,955,49273
40,00,To improve quality or reliability of processes or methods,1015,115824
40,00,To expand the range of goods or services,422,25605
40,00,To adopt standards and accreditation,199,8994
40,00,Some other reason,164,8200
41,00,To automate tasks performed by labor,906,58049
41,00,To adopt standards and accreditation,313,8930
41,00,To upgrade outdated processes or methods,1065,63247
41,00,To improve quality or reliability of processes or methods,1346,88210
41,00,To expand the range of goods or services,553,31680
41,00,Some other reason,366,32577
42,00,To automate tasks performed by labor,1703,267780
42,00,To upgrade outdated processes or methods,2210,236602
42,00,To improve quality or reliability of processes or methods,2719,378252
42,00,To expand the range of goods or services,1262,109827
42,00,To adopt standards and accreditation,800,32367
42,00,Some other reason,1027,16185
45,00,To automate tasks performed by labor,588,121794
45,00,To adopt standards and accreditation,159,18626
45,00,To upgrade outdated processes or methods,781,90902
45,00,To improve quality or reliability of processes or methods,945,145128
45,00,To expand the range of goods or services,284,54414
45,00,Some other reason,474,11667
44,00,To automate tasks performed by labor,152,14852
44,00,To upgrade outdated processes or methods,135,14978
44,00,To improve quality or reliability of processes or methods,180,16500
44,00,To expand the range of goods or services,54,4384
44,00,To adopt standards and accreditation,37,3437
44,00,Some other reason,78,910
46,00,To automate tasks performed by labor,252,15775
46,00,To upgrade outdated processes or methods,248,10364
46,00,To improve quality or reliability of processes or methods,285,19835
46,00,To expand the range of goods or services,279,6438
46,00,To adopt standards and accreditation,31,1152
46,00,Some other reason,84,3383
47,00,To automate tasks performed by labor,960,175685
47,00,To upgrade outdated processes or methods,1207,175870
47,00,To improve quality or reliability of processes or methods,1528,268583
47,00,To expand the range of goods or services,563,116680
47,00,To adopt standards and accreditation,298,22420
47,00,Some other reason,376,14841
48,00,To automate tasks performed by labor,3177,701581
48,00,To upgrade outdated processes or methods,5006,623473
48,00,To improve quality or reliability of processes or methods,6115,947848
48,00,To expand the range of goods or services,2957,348262
48,00,To adopt standards and accreditation,1476,126284
48,00,Some other reason,1747,94376
49,00,To automate tasks performed by labor,654,65056
49,00,To upgrade outdated processes or methods,717,44321
49,00,To improve quality or reliability of processes or methods,1012,100869
49,00,To expand the range of goods or services,164,44159
49,00,To adopt standards and accreditation,191,14294
49,00,Some other reason,241,13276
50,00,To automate tasks performed by labor,132,5517
50,00,To upgrade outdated processes or methods,138,3084
50,00,To improve quality or reliability of processes or methods,254,7823
50,00,To expand the range of goods or services,69,2999
50,00,To adopt standards and accreditation,0,0
50,00,Some other reason,61,728
53,00,To automate tasks performed by labor,1072,250478
53,00,To upgrade outdated processes or methods,1294,241155
53,00,To improve quality or reliability of processes or methods,1772,294701
53,00,To expand the range of goods or services,850,194950
53,00,To adopt standards and accreditation,378,161907
53,00,Some other reason,789,21642
51,00,To automate tasks performed by labor,1016,242761
51,00,To upgrade outdated processes or methods,1752,216031
51,00,To improve quality or reliability of processes or methods,2064,306584
51,00,To expand the range of goods or services,1178,120787
51,00,To adopt standards and accreditation,451,58004
51,00,Some other reason,797,26757
54,00,To automate tasks performed by labor,146,31197
54,00,To upgrade outdated processes or methods,352,29684
54,00,To improve quality or reliability of processes or methods,312,49846
54,00,To expand the range of goods or services,87,7314
54,00,To adopt standards and accreditation,77,3231
54,00,Some other reason,158,3188
55,00,To automate tasks performed by labor,766,206888
55,00,To upgrade outdated processes or methods,1047,194481
55,00,To improve quality or reliability of processes or methods,1376,248521
55,00,To expand the range of goods or services,706,88101
55,00,Some other reason,741,39504
55,00,To adopt standards and accreditation,219,20505
56,00,To automate tasks performed by labor,68,11609
56,00,To upgrade outdated processes or methods,79,5664
56,00,To improve quality or reliability of processes or methods,137,14047
56,00,To expand the range of goods or services,131,7562
56,00,To adopt standards and accreditation,20,552
56,00,Some other reason,118,1995
01,11,To automate tasks performed by labor,0,0
01,11,To upgrade outdated processes or methods,0,0
01,11,To improve quality or reliability of processes or methods,0,0
01,11,To expand the range of goods or services,0,0
01,11,To adopt standards and accreditation,0,0
01,11,Some other reason,0,0
02,11,To automate tasks performed by labor,0,0
02,11,To upgrade outdated processes or methods,0,0
02,11,To improve quality or reliability of processes or methods,0,0
02,11,To expand the range of goods or services,0,0
02,11,To adopt standards and accreditation,0,0
02,11,Some other reason,0,0
04,11,To automate tasks performed by labor,0,0
04,11,To upgrade outdated processes or methods,0,0
04,11,To improve quality or reliability of processes or methods,0,0
04,11,To expand the range of goods or services,0,0
04,11,To adopt standards and accreditation,0,0
04,11,Some other reason,0,0
05,11,To improve quality or reliability of processes or methods,0,0
05,11,To automate tasks performed by labor,0,0
05,11,To upgrade outdated processes or methods,0,0
05,11,To expand the range of goods or services,0,0
05,11,To adopt standards and accreditation,0,0
05,11,Some other reason,0,0
06,11,To automate tasks performed by labor,0,0
06,11,To upgrade outdated processes or methods,0,0
06,11,To improve quality or reliability of processes or methods,0,0
06,11,To expand the range of goods or services,0,0
06,11,To adopt standards and accreditation,0,0
06,11,Some other reason,0,0
08,11,To automate tasks performed by labor,0,0
08,11,To upgrade outdated processes or methods,0,0
08,11,To improve quality or reliability of processes or methods,0,0
08,11,To expand the range of goods or services,0,0
08,11,To adopt standards and accreditation,0,0
08,11,Some other reason,0,0
09,11,To automate tasks performed by labor,0,0
09,11,To upgrade outdated processes or methods,0,0
09,11,To improve quality or reliability of processes or methods,0,0
09,11,To expand the range of goods or services,0,0
09,11,To adopt standards and accreditation,0,0
09,11,Some other reason,0,0
10,11,To automate tasks performed by labor,0,0
10,11,To upgrade outdated processes or methods,0,0
10,11,To improve quality or reliability of processes or methods,0,0
10,11,To expand the range of goods or services,0,0
10,11,To adopt standards and accreditation,0,0
10,11,Some other reason,0,0
11,11,To automate tasks performed by labor,0,0
11,11,To upgrade outdated processes or methods,0,0
11,11,To improve quality or reliability of processes or methods,0,0
11,11,To expand the range of goods or services,0,0
11,11,To adopt standards and accreditation,0,0
11,11,Some other reason,0,0
12,11,To expand the range of goods or services,0,0
12,11,To automate tasks performed by labor,0,0
12,11,To upgrade outdated processes or methods,0,0
12,11,To improve quality or reliability of processes or methods,0,0
12,11,To adopt standards and accreditation,0,0
12,11,Some other reason,0,0
13,11,To automate tasks performed by labor,0,0
13,11,To upgrade outdated processes or methods,0,0
13,11,To improve quality or reliability of processes or methods,0,0
13,11,To expand the range of goods or services,0,0
13,11,To adopt standards and accreditation,0,0
13,11,Some other reason,0,0
15,11,To automate tasks performed by labor,0,0
15,11,To upgrade outdated processes or methods,0,0
15,11,To improve quality or reliability of processes or methods,0,0
15,11,To expand the range of goods or services,0,0
15,11,To adopt standards and accreditation,0,0
15,11,Some other reason,0,0
16,11,To automate tasks performed by labor,0,0
16,11,To upgrade outdated processes or methods,0,0
16,11,To improve quality or reliability of processes or methods,0,0
16,11,To expand the range of goods or services,0,0
16,11,To adopt standards and accreditation,0,0
16,11,Some other reason,0,0
17,11,To upgrade outdated processes or methods,0,0
17,11,To automate tasks performed by labor,0,0
17,11,To improve quality or reliability of processes or methods,0,0
17,11,To expand the range of goods or services,0,0
17,11,To adopt standards and accreditation,0,0
17,11,Some other reason,0,0
18,11,To upgrade outdated processes or methods,0,0
18,11,To automate tasks performed by labor,0,0
18,11,To improve quality or reliability of processes or methods,0,0
18,11,To expand the range of goods or services,0,0
18,11,To adopt standards and accreditation,0,0
18,11,Some other reason,0,0
19,11,To automate tasks performed by labor,0,0
19,11,To upgrade outdated processes or methods,0,0
19,11,To improve quality or reliability of processes or methods,0,0
19,11,To expand the range of goods or services,0,0
19,11,To adopt standards and accreditation,0,0
19,11,Some other reason,0,0
20,11,To upgrade outdated processes or methods,0,0
20,11,To automate tasks performed by labor,0,0
20,11,To improve quality or reliability of processes or methods,0,0
20,11,To expand the range of goods or services,0,0
20,11,To adopt standards and accreditation,0,0
20,11,Some other reason,0,0
21,11,To automate tasks performed by labor,0,0
21,11,To upgrade outdated processes or methods,0,0
21,11,To improve quality or reliability of processes or methods,0,0
21,11,To expand the range of goods or services,0,0
21,11,To adopt standards and accreditation,0,0
21,11,Some other reason,0,0
22,11,To automate tasks performed by labor,0,0
22,11,To upgrade outdated processes or methods,0,0
22,11,To improve quality or reliability of processes or methods,0,0
22,11,To expand the range of goods or services,0,0
22,11,To adopt standards and accreditation,0,0
22,11,Some other reason,0,0
24,11,To automate tasks performed by labor,0,0
24,11,To upgrade outdated processes or methods,0,0
24,11,To improve quality or reliability of processes or methods,0,0
24,11,To expand the range of goods or services,0,0
24,11,To adopt standards and accreditation,0,0
24,11,Some other reason,0,0
23,11,To automate tasks performed by labor,0,0
23,11,To adopt standards and accreditation,0,0
23,11,To upgrade outdated processes or methods,0,0
23,11,To improve quality or reliability of processes or methods,0,0
23,11,To expand the range of goods or services,0,0
23,11,Some other reason,0,0
25,11,To automate tasks performed by labor,0,0
25,11,To upgrade outdated processes or methods,0,0
25,11,To improve quality or reliability of processes or methods,0,0
25,11,To expand the range of goods or services,0,0
25,11,To adopt standards and accreditation,0,0
25,11,Some other reason,0,0
26,11,To automate tasks performed by labor,0,0
26,11,To upgrade outdated processes or methods,0,0
26,11,To improve quality or reliability of processes or methods,0,0
26,11,To expand the range of goods or services,0,0
26,11,To adopt standards and accreditation,0,0
26,11,Some other reason,0,0
27,11,To automate tasks performed by labor,0,0
27,11,To upgrade outdated processes or methods,0,0
27,11,To improve quality or reliability of processes or methods,0,0
27,11,To expand the range of goods or services,0,0
27,11,To adopt standards and accreditation,0,0
27,11,Some other reason,0,0
28,11,To expand the range of goods or services,0,0
28,11,To automate tasks performed by labor,0,0
28,11,To upgrade outdated processes or methods,0,0
28,11,To improve quality or reliability of processes or methods,0,0
28,11,To adopt standards and accreditation,0,0
28,11,Some other reason,0,0
29,11,To improve quality or reliability of processes or methods,0,0
29,11,To automate tasks performed by labor,0,0
29,11,To upgrade outdated processes or methods,0,0
29,11,To expand the range of goods or services,0,0
29,11,To adopt standards and accreditation,0,0
29,11,Some other reason,0,0
30,11,To automate tasks performed by labor,0,0
30,11,To upgrade outdated processes or methods,0,0
30,11,To improve quality or reliability of processes or methods,0,0
30,11,To expand the range of goods or services,0,0
30,11,To adopt standards and accreditation,0,0
30,11,Some other reason,0,0
31,11,To automate tasks performed by labor,0,0
31,11,To upgrade outdated processes or methods,0,0
31,11,To improve quality or reliability of processes or methods,0,0
31,11,To expand the range of goods or services,0,0
31,11,To adopt standards and accreditation,0,0
31,11,Some other reason,0,0
32,11,To improve quality or reliability of processes or methods,0,0
32,11,To automate tasks performed by labor,0,0
32,11,To upgrade outdated processes or methods,0,0
32,11,To expand the range of goods or services,0,0
32,11,To adopt standards and accreditation,0,0
32,11,Some other reason,0,0
34,11,To automate tasks performed by labor,0,0
34,11,To upgrade outdated processes or methods,0,0
34,11,To improve quality or reliability of processes or methods,0,0
34,11,To expand the range of goods or services,0,0
34,11,To adopt standards and accreditation,0,0
34,11,Some other reason,0,0
33,11,To automate tasks performed by labor,0,0
33,11,To upgrade outdated processes or methods,0,0
33,11,To improve quality or reliability of processes or methods,0,0
33,11,To expand the range of goods or services,0,0
33,11,To adopt standards and accreditation,0,0
33,11,Some other reason,0,0
36,11,To automate tasks performed by labor,0,0
36,11,To upgrade outdated processes or methods,0,0
36,11,To improve quality or reliability of processes or methods,0,0
36,11,To expand the range of goods or services,0,0
36,11,To adopt standards and accreditation,0,0
36,11,Some other reason,0,0
35,11,To improve quality or reliability of processes or methods,0,0
35,11,To automate tasks performed by labor,0,0
35,11,To upgrade outdated processes or methods,0,0
35,11,To expand the range of goods or services,0,0
35,11,To adopt standards and accreditation,0,0
35,11,Some other reason,0,0
37,11,To expand the range of goods or services,0,0
37,11,To automate tasks performed by labor,0,0
37,11,To upgrade outdated processes or methods,0,0
37,11,To improve quality or reliability of processes or methods,0,0
37,11,To adopt standards and accreditation,0,0
37,11,Some other reason,0,0
38,11,To automate tasks performed by labor,0,0
38,11,To upgrade outdated processes or methods,0,0
38,11,To improve quality or reliability of processes or methods,0,0
38,11,To expand the range of goods or services,0,0
38,11,To adopt standards and accreditation,0,0
38,11,Some other reason,0,0
39,11,To improve quality or reliability of processes or methods,0,0
39,11,To expand the range of goods or services,0,0
39,11,To adopt standards and accreditation,0,0
39,11,Some other reason,0,0
39,11,To automate tasks performed by labor,0,0
39,11,To upgrade outdated processes or methods,0,0
40,11,To automate tasks performed by labor,0,0
40,11,To upgrade outdated processes or methods,0,0
40,11,To improve quality or reliability of processes or methods,0,0
40,11,To expand the range of goods or services,0,0
40,11,To adopt standards and accreditation,0,0
40,11,Some other reason,0,0
41,11,To automate tasks performed by labor,0,0
41,11,To upgrade outdated processes or methods,0,0
41,11,To improve quality or reliability of processes or methods,0,0
41,11,To expand the range of goods or services,0,0
41,11,To adopt standards and accreditation,0,0
41,11,Some other reason,0,0
42,11,To automate tasks performed by labor,0,0
42,11,To upgrade outdated processes or methods,0,0
42,11,To improve quality or reliability of processes or methods,0,0
42,11,To expand the range of goods or services,0,0
42,11,To adopt standards and accreditation,0,0
42,11,Some other reason,0,0
45,11,To automate tasks performed by labor,0,0
45,11,To upgrade outdated processes or methods,0,0
45,11,To improve quality or reliability of processes or methods,0,0
45,11,To expand the range of goods or services,0,0
45,11,To adopt standards and accreditation,0,0
45,11,Some other reason,0,0
44,11,To automate tasks performed by labor,0,0
44,11,To upgrade outdated processes or methods,0,0
44,11,To improve quality or reliability of processes or methods,0,0
44,11,To expand the range of goods or services,0,0
44,11,To adopt standards and accreditation,0,0
44,11,Some other reason,0,0
46,11,To upgrade outdated processes or methods,0,0
46,11,To automate tasks performed by labor,0,0
46,11,To improve quality or reliability of processes or methods,0,0
46,11,To expand the range of goods or services,0,0
46,11,To adopt standards and accreditation,0,0
46,11,Some other reason,0,0
47,11,To automate tasks performed by labor,0,0
47,11,To upgrade outdated processes or methods,0,0
47,11,To improve quality or reliability of processes or methods,0,0
47,11,To expand the range of goods or services,0,0
47,11,To adopt standards and accreditation,0,0
47,11,Some other reason,0,0
48,11,To automate tasks performed by labor,0,0
48,11,To upgrade outdated processes or methods,0,0
48,11,To improve quality or reliability of processes or methods,0,0
48,11,To expand the range of goods or services,0,0
48,11,To adopt standards and accreditation,0,0
48,11,Some other reason,0,0
49,11,To automate tasks performed by labor,0,0
49,11,To upgrade outdated processes or methods,0,0
49,11,To improve quality or reliability of processes or methods,0,0
49,11,To expand the range of goods or services,0,0
49,11,To adopt standards and accreditation,0,0
49,11,Some other reason,0,0
50,11,To automate tasks performed by labor,0,0
50,11,To upgrade outdated processes or methods,0,0
50,11,To improve quality or reliability of processes or methods,0,0
50,11,To expand the range of goods or services,0,0
50,11,To adopt standards and accreditation,0,0
50,11,Some other reason,0,0
53,11,To expand the range of goods or services,0,0
53,11,To automate tasks performed by labor,0,0
53,11,To upgrade outdated processes or methods,0,0
53,11,To improve quality or reliability of processes or methods,0,0
53,11,To adopt standards and accreditation,0,0
53,11,Some other reason,0,0
51,11,To automate tasks performed by labor,0,0
51,11,To upgrade outdated processes or methods,0,0
51,11,To improve quality or reliability of processes or methods,0,0
51,11,To expand the range of goods or services,0,0
51,11,To adopt standards and accreditation,0,0
51,11,Some other reason,0,0
54,11,To automate tasks performed by labor,0,0
54,11,To upgrade outdated processes or methods,0,0
54,11,To improve quality or reliability of processes or methods,0,0
54,11,To expand the range of goods or services,0,0
54,11,To adopt standards and accreditation,0,0
54,11,Some other reason,0,0
55,11,To automate tasks performed by labor,0,0
55,11,To upgrade outdated processes or methods,0,0
55,11,To improve quality or reliability of processes or methods,0,0
55,11,To expand the range of goods or services,0,0
55,11,To adopt standards and accreditation,0,0
55,11,Some other reason,0,0
56,11,To automate tasks performed by labor,0,0
56,11,To upgrade outdated processes or methods,0,0
56,11,To improve quality or reliability of processes or methods,0,0
56,11,To expand the range of goods or services,0,0
56,11,To adopt standards and accreditation,0,0
56,11,Some other reason,0,0
01,21,To automate tasks performed by labor,0,0
01,21,To upgrade outdated processes or methods,0,0
01,21,To improve quality or reliability of processes or methods,0,0
01,21,To expand the range of goods or services,0,0
01,21,To adopt standards and accreditation,0,0
01,21,Some other reason,0,0
02,21,To automate tasks performed by labor,0,0
02,21,To upgrade outdated processes or methods,0,0
02,21,To improve quality or reliability of processes or methods,0,0
02,21,To expand the range of goods or services,0,0
02,21,To adopt standards and accreditation,0,0
02,21,Some other reason,0,0
04,21,To automate tasks performed by labor,0,0
04,21,To upgrade outdated processes or methods,0,0
04,21,To improve quality or reliability of processes or methods,0,0
04,21,To expand the range of goods or services,0,0
04,21,To adopt standards and accreditation,0,0
04,21,Some other reason,0,0
05,21,To automate tasks performed by labor,0,0
05,21,To upgrade outdated processes or methods,0,0
05,21,To improve quality or reliability of processes or methods,0,0
05,21,To expand the range of goods or services,0,0
05,21,To adopt standards and accreditation,0,0
05,21,Some other reason,0,0
06,21,To automate tasks performed by labor,0,0
06,21,To upgrade outdated processes or methods,0,0
06,21,To improve quality or reliability of processes or methods,0,0
06,21,To expand the range of goods or services,0,0
06,21,To adopt standards and accreditation,0,0
06,21,Some other reason,0,0
08,21,To automate tasks performed by labor,0,0
08,21,To upgrade outdated processes or methods,0,0
08,21,To improve quality or reliability of processes or methods,0,0
08,21,To expand the range of goods or services,0,0
08,21,To adopt standards and accreditation,0,0
08,21,Some other reason,0,0
09,21,To automate tasks performed by labor,0,0
09,21,To upgrade outdated processes or methods,0,0
09,21,Some other reason,0,0
09,21,To improve quality or reliability of processes or methods,0,0
09,21,To expand the range of goods or services,0,0
09,21,To adopt standards and accreditation,0,0
10,21,To automate tasks performed by labor,0,0
10,21,To upgrade outdated processes or methods,0,0
10,21,To improve quality or reliability of processes or methods,0,0
10,21,To expand the range of goods or services,0,0
10,21,To adopt standards and accreditation,0,0
10,21,Some other reason,0,0
11,21,To automate tasks performed by labor,0,0
11,21,To upgrade outdated processes or methods,0,0
11,21,Some other reason,0,0
11,21,To improve quality or reliability of processes or methods,0,0
11,21,To expand the range of goods or services,0,0
11,21,To adopt standards and accreditation,0,0
12,21,To expand the range of goods or services,0,0
12,21,To automate tasks performed by labor,0,0
12,21,To upgrade outdated processes or methods,0,0
12,21,To improve quality or reliability of processes or methods,0,0
12,21,To adopt standards and accreditation,0,0
12,21,Some other reason,0,0
13,21,To automate tasks performed by labor,0,0
13,21,To upgrade outdated processes or methods,0,0
13,21,To improve quality or reliability of processes or methods,0,0
13,21,To expand the range of goods or services,0,0
13,21,To adopt standards and accreditation,0,0
13,21,Some other reason,0,0
15,21,To automate tasks performed by labor,0,0
15,21,To upgrade outdated processes or methods,0,0
15,21,To improve quality or reliability of processes or methods,0,0
15,21,To expand the range of goods or services,0,0
15,21,To adopt standards and accreditation,0,0
15,21,Some other reason,0,0
