state,NAICS2017,barrier,n_firms,n_emp
12,00,Required data not reliable,1346,168644
12,00,Lacked access to required human capital and talent,4121,242920
12,00,Laws and regulations,1851,78015
12,00,Concerns regarding safety and security (physical security and/or cyber security),3686,324677
12,00,Lacked access to capital,5415,113151
12,00,Technology not applicable to this business,164586,2395306
12,00,No factors adversely affected the adoption of this technology,150368,2393578
13,00,Technology was too expensive,9378,293450
13,00,Technology was not mature,3104,273520
13,00,Laws and regulations,1331,38533
13,00,Lacked access to required data,1420,91875
13,00,Required data not reliable,727,85421
13,00,Lacked access to required human capital and talent,1893,129671
13,00,Concerns regarding safety and security (physical security and/or cyber security),1666,159890
13,00,Lacked access to capital,1440,46971
13,00,Technology not applicable to this business,62776,1140935
13,00,No factors adversely affected the adoption of this technology,64216,1300376
15,00,Required data not reliable,174,7886
15,00,Technology was too expensive,1447,35625
15,00,Technology was not mature,460,27190
15,00,Lacked access to required data,298,10112
15,00,Lacked access to required human capital and talent,166,19245
15,00,Laws and regulations,100,2705
15,00,Concerns regarding safety and security (physical security and/or cyber security),331,19699
15,00,Lacked access to capital,277,7723
15,00,Technology not applicable to this business,9176,149092
15,00,No factors adversely affected the adoption of this technology,7781,127545
16,00,Technology was too expensive,2581,40810
16,00,Technology was not mature,768,32101
16,00,Lacked access to required data,341,7618
16,00,Required data not reliable,235,8542
16,00,Lacked access to required human capital and talent,560,19735
16,00,Laws and regulations,262,13997
16,00,Concerns regarding safety and security (physical security and/or cyber security),398,20472
16,00,Lacked access to capital,549,6389
16,00,Technology not applicable to this business,16922,177509
16,00,No factors adversely affected the adoption of this technology,15012,204867
17,00,Technology was too expensive,17409,429248
17,00,Technology was not mature,4968,367332
17,00,Lacked access to required data,1965,169086
17,00,Required data not reliable,1144,186526
17,00,Lacked access to required human capital and talent,3181,229666
17,00,Technology not applicable to this business,94198,1556638
17,00,Laws and regulations,1899,70402
17,00,Concerns regarding safety and security (physical security and/or cyber security),2475,227759
17,00,Lacked access to capital,3399,64226
17,00,No factors adversely affected the adoption of this technology,89555,1777597
18,00,Technology was too expensive,7892,253766
18,00,Technology was not mature,2018,238915
18,00,Lacked access to required data,570,83598
18,00,Required data not reliable,407,77251
18,00,Lacked access to required human capital and talent,1155,119835
18,00,Laws and regulations,1019,44677
18,00,Concerns regarding safety and security (physical security and/or cyber security),1196,121484
18,00,Lacked access to capital,1508,41808
18,00,Technology not applicable to this business,42904,795917
18,00,No factors adversely affected the adoption of this technology,40645,997742
19,00,Technology was too expensive,4499,112767
19,00,Technology was not mature,1224,142928
19,00,Lacked access to required data,504,42453
19,00,Required data not reliable,366,86222
19,00,Lacked access to capital,676,22747
19,00,Lacked access to required human capital and talent,461,93190
19,00,Laws and regulations,499,8688
19,00,Concerns regarding safety and security (physical security and/or cyber security),857,65092
19,00,Technology not applicable to this business,24947,380823
19,00,No factors adversely affected the adoption of this technology,25259,509748
20,00,Lacked access to required data,627,22292
20,00,Technology was too expensive,3739,95396
20,00,Technology was not mature,1092,84288
20,00,Required data not reliable,390,28629
20,00,Lacked access to required human capital and talent,880,61615
20,00,Laws and regulations,604,15217
20,00,Concerns regarding safety and security (physical security and/or cyber security),649,58120
20,00,Lacked access to capital,633,9440
20,00,Technology not applicable to this business,24182,381281
20,00,No factors adversely affected the adoption of this technology,20748,406342
21,00,Technology was too expensive,4077,135654
21,00,Technology was not mature,1146,118301
21,00,Laws and regulations,443,39098
21,00,Lacked access to required data,681,58467
21,00,Required data not reliable,227,46404
21,00,Lacked access to required human capital and talent,827,80196
21,00,Concerns regarding safety and security (physical security and/or cyber security),642,99703
21,00,Lacked access to capital,675,17594
21,00,Technology not applicable to this business,24709,448560
21,00,No factors adversely affected the adoption of this technology,26244,581304
22,00,Technology was too expensive,4824,107585
22,00,Technology was not mature,1205,99204
22,00,Lacked access to required data,471,29668
22,00,Concerns regarding safety and security (physical security and/or cyber security),769,85636
22,00,Required data not reliable,326,29796
22,00,Lacked access to required human capital and talent,843,56954
22,00,Laws and regulations,492,12785
22,00,Lacked access to capital,559,21628
22,00,Technology not applicable to this business,25402,495090
22,00,No factors adversely affected the adoption of this technology,28727,640058
24,00,Technology was not mature,2366,151264
24,00,Lacked access to required data,1196,41873
24,00,Required data not reliable,540,42578
24,00,Lacked access to required human capital and talent,1482,71446
24,00,Laws and regulations,747,50259
24,00,Concerns regarding safety and security (physical security and/or cyber security),799,72933
24,00,Lacked access to capital,1562,26696
24,00,Technology not applicable to this business,39655,644328
24,00,No factors adversely affected the adoption of this technology,38166,682943
24,00,Technology was too expensive,6032,125882
23,00,Technology was too expensive,1831,35726
23,00,Technology was not mature,598,34869
23,00,Laws and regulations,168,4920
23,00,Lacked access to required data,113,5025
23,00,Required data not reliable,207,5975
23,00,Lacked access to required human capital and talent,313,16932
23,00,Concerns regarding safety and security (physical security and/or cyber security),235,20408
23,00,Lacked access to capital,251,4999
23,00,Technology not applicable to this business,12404,166449
23,00,No factors adversely affected the adoption of this technology,10491,133170
25,00,Technology was too expensive,7451,239989
25,00,Technology was not mature,2428,231855
25,00,Lacked access to required data,1066,76376
25,00,Required data not reliable,682,65525
25,00,Lacked access to required human capital and talent,1277,108873
25,00,Laws and regulations,907,53804
25,00,Concerns regarding safety and security (physical security and/or cyber security),997,117379
25,00,Lacked access to capital,1233,56999
25,00,Technology not applicable to this business,50750,839798
25,00,No factors adversely affected the adoption of this technology,46609,805270
26,00,Technology was too expensive,11586,303256
26,00,Technology was not mature,2486,341883
26,00,Lacked access to required data,1226,131609
26,00,Required data not reliable,942,163125
26,00,Lacked access to required human capital and talent,1629,183683
26,00,Laws and regulations,1037,109116
26,00,Concerns regarding safety and security (physical security and/or cyber security),1589,215578
26,00,Lacked access to capital,2196,38168
26,00,Technology not applicable to this business,65242,1198202
26,00,No factors adversely affected the adoption of this technology,64033,1238953
27,00,Required data not reliable,696,106676
27,00,Technology was too expensive,7849,237330
27,00,Technology was not mature,2088,244681
27,00,Lacked access to required data,609,104939
27,00,Lacked access to required human capital and talent,1340,111266
27,00,Laws and regulations,1012,18625
27,00,Concerns regarding safety and security (physical security and/or cyber security),1401,109686
27,00,Lacked access to capital,1406,36164
27,00,Technology not applicable to this business,45839,723765
27,00,No factors adversely affected the adoption of this technology,47784,848181
28,00,Technology was too expensive,2953,68029
28,00,Technology was not mature,484,38977
28,00,Lacked access to required data,170,11519
28,00,Required data not reliable,228,15823
28,00,Lacked access to required human capital and talent,445,29236
28,00,Laws and regulations,214,5297
28,00,Concerns regarding safety and security (physical security and/or cyber security),466,54410
28,00,Lacked access to capital,500,7022
28,00,Technology not applicable to this business,14927,300953
28,00,No factors adversely affected the adoption of this technology,14636,335388
29,00,Technology was too expensive,6762,154607
29,00,Technology was not mature,1619,159096
29,00,Lacked access to required data,825,78169
29,00,Required data not reliable,370,93969
29,00,Lacked access to required human capital and talent,995,107502
29,00,Laws and regulations,716,54688
29,00,Concerns regarding safety and security (physical security and/or cyber security),1193,145821
29,00,Lacked access to capital,1484,50624
29,00,Technology not applicable to this business,39960,773694
29,00,No factors adversely affected the adoption of this technology,41828,856203
30,00,Technology was too expensive,1322,19811
30,00,Technology was not mature,348,31111
30,00,Lacked access to required data,159,4137
30,00,Required data not reliable,41,2818
30,00,Lacked access to required human capital and talent,227,6207
30,00,Laws and regulations,123,2303
30,00,Concerns regarding safety and security (physical security and/or cyber security),162,11317
30,00,Lacked access to capital,289,3381
30,00,Technology not applicable to this business,14356,139932
30,00,No factors adversely affected the adoption of this technology,11788,111597
31,00,Technology was too expensive,3135,69559
31,00,Technology was not mature,768,64098
31,00,Lacked access to required data,477,15623
31,00,Required data not reliable,226,32017
31,00,Lacked access to required human capital and talent,479,41777
31,00,Laws and regulations,225,6756
31,00,Concerns regarding safety and security (physical security and/or cyber security),422,32620
31,00,Lacked access to capital,344,7956
31,00,Technology not applicable to this business,17755,269760
31,00,No factors adversely affected the adoption of this technology,19010,318775
32,00,Technology was too expensive,2835,54541
32,00,Technology was not mature,1184,87796
32,00,Lacked access to required data,290,18893
32,00,Required data not reliable,206,23007
32,00,Lacked access to required human capital and talent,857,103541
32,00,Laws and regulations,304,41442
32,00,Concerns regarding safety and security (physical security and/or cyber security),573,55222
32,00,Lacked access to capital,668,22448
32,00,Technology not applicable to this business,17871,383260
32,00,No factors adversely affected the adoption of this technology,17203,400094
34,00,Required data not reliable,700,90277
34,00,Technology was too expensive,13138,246316
34,00,Technology was not mature,2821,205303
34,00,Lacked access to required data,1359,131658
34,00,Lacked access to required human capital and talent,1338,117456
34,00,Laws and regulations,1432,76487
34,00,Concerns regarding safety and security (physical security and/or cyber security),1460,95601
34,00,Lacked access to capital,1988,41469
34,00,Technology not applicable to this business,65126,993930
34,00,No factors adversely affected the adoption of this technology,64004,1071790
33,00,Technology was too expensive,1482,48324
33,00,Technology was not mature,557,51320
33,00,Lacked access to required data,308,11615
33,00,Required data not reliable,170,14981
33,00,Lacked access to required human capital and talent,352,26492
33,00,Laws and regulations,91,8577
33,00,Concerns regarding safety and security (physical security and/or cyber security),245,31499
33,00,Lacked access to capital,267,4955
33,00,Technology not applicable to this business,13257,181841
33,00,No factors adversely affected the adoption of this technology,9884,164984
36,00,Technology was too expensive,25733,509189
36,00,Technology was not mature,5868,392146
36,00,Lacked access to required data,3318,160124
36,00,Required data not reliable,1782,142709
36,00,Lacked access to required human capital and talent,3032,180695
36,00,Laws and regulations,2693,117867
36,00,Concerns regarding safety and security (physical security and/or cyber security),3299,189731
36,00,Lacked access to capital,3735,103705
36,00,Technology not applicable to this business,146236,1918827
36,00,No factors adversely affected the adoption of this technology,138704,2227443
35,00,Required data not reliable,96,8500
35,00,Technology was too expensive,1897,31615
35,00,Technology was not mature,469,21250
35,00,Lacked access to required data,212,8913
35,00,Lacked access to required human capital and talent,398,13965
35,00,Laws and regulations,179,9237
35,00,Concerns regarding safety and security (physical security and/or cyber security),271,39850
35,00,Lacked access to capital,306,4817
35,00,Technology not applicable to this business,12657,194063
35,00,No factors adversely affected the adoption of this technology,10625,182593
37,00,Technology was too expensive,11535,307032
37,00,Lacked access to required human capital and talent,1995,151300
37,00,Technology was not mature,4417,274656
37,00,Lacked access to required data,990,78965
37,00,Required data not reliable,751,82185
37,00,Laws and regulations,1077,36014
37,00,Concerns regarding safety and security (physical security and/or cyber security),1762,168758
37,00,Lacked access to capital,2025,45468
37,00,Technology not applicable to this business,69968,1125957
37,00,No factors adversely affected the adoption of this technology,66000,1348191
38,00,Technology was too expensive,1855,20112
38,00,Technology was not mature,493,20132
38,00,Laws and regulations,199,1852
38,00,Lacked access to required data,148,10972
38,00,Required data not reliable,115,4850
38,00,Lacked access to required human capital and talent,324,10162
38,00,Concerns regarding safety and security (physical security and/or cyber security),128,9459
38,00,Lacked access to capital,258,6260
38,00,Technology not applicable to this business,7835,123773
38,00,No factors adversely affected the adoption of this technology,7872,108362
39,00,Technology was too expensive,10803,378033
39,00,Technology was not mature,2984,348961
39,00,Lacked access to required data,1309,124001
39,00,Required data not reliable,785,123681
39,00,Lacked access to required human capital and talent,2114,228711
39,00,Laws and regulations,1045,57859
39,00,Concerns regarding safety and security (physical security and/or cyber security),1458,175689
39,00,Lacked access to capital,2658,91163
39,00,Technology not applicable to this business,69210,1205506
39,00,No factors adversely affected the adoption of this technology,68314,1712539
40,00,Technology was too expensive,4890,95110
40,00,Technology was not mature,1198,85510
40,00,Lacked access to required data,546,33851
40,00,Required data not reliable,420,32694
40,00,Lacked access to required human capital and talent,770,57341
40,00,Laws and regulations,247,14539
40,00,Concerns regarding safety and security (physical security and/or cyber security),802,97827
40,00,Lacked access to capital,933,31597
40,00,Technology not applicable to this business,26355,449455
40,00,No factors adversely affected the adoption of this technology,25860,457017
41,00,Technology was too expensive,4404,100598
41,00,Technology was not mature,1889,121026
41,00,Lacked access to required data,997,54690
41,00,Required data not reliable,438,52208
41,00,Lacked access to required human capital and talent,1373,59648
41,00,Laws and regulations,606,9859
41,00,Concerns regarding safety and security (physical security and/or cyber security),988,42119
41,00,Lacked access to capital,1457,19391
41,00,Technology not applicable to this business,40877,576450
41,00,No factors adversely affected the adoption of this technology,33361,502624
42,00,Technology was too expensive,14389,331824
42,00,Technology was not mature,4281,344568
42,00,Lacked access to required data,1760,132929
42,00,Required data not reliable,896,149064
42,00,Lacked access to required human capital and talent,2221,186101
42,00,Laws and regulations,1564,94894
42,00,Concerns regarding safety and security (physical security and/or cyber security),1933,182353
42,00,Lacked access to capital,2604,83902
42,00,Technology not applicable to this business,88641,1447495
42,00,No factors adversely affected the adoption of this technology,80660,1676518
45,00,Technology was not mature,1553,139870
45,00,Technology was too expensive,5142,134928
45,00,Lacked access to required data,869,62291
45,00,Required data not reliable,366,49664
45,00,Lacked access to required human capital and talent,816,66244
45,00,Laws and regulations,199,27652
45,00,Concerns regarding safety and security (physical security and/or cyber security),373,91799
45,00,Lacked access to capital,819,41229
45,00,Technology not applicable to this business,28912,531634
45,00,No factors adversely affected the adoption of this technology,30713,787172
44,00,Technology was too expensive,1451,30371
44,00,Technology was not mature,329,23142
44,00,Lacked access to required data,244,14288
44,00,Required data not reliable,92,10811
44,00,Lacked access to required human capital and talent,147,13711
44,00,Laws and regulations,63,6055
44,00,Concerns regarding safety and security (physical security and/or cyber security),282,17532
44,00,Lacked access to capital,191,5199
44,00,Technology not applicable to this business,8527,114372
44,00,No factors adversely affected the adoption of this technology,6830,114011
46,00,Technology was too expensive,1442,22122
46,00,Technology was not mature,343,20993
46,00,Lacked access to required data,252,5795
46,00,Required data not reliable,89,8932
46,00,Lacked access to required human capital and talent,305,14849
46,00,Laws and regulations,184,2367
46,00,Concerns regarding safety and security (physical security and/or cyber security),293,11433
46,00,Lacked access to capital,265,5311
46,00,Technology not applicable to this business,8673,102152
46,00,No factors adversely affected the adoption of this technology,8770,114253
47,00,Technology was not mature,2080,266388
47,00,Technology was too expensive,5616,296873
47,00,Lacked access to required data,907,73786
47,00,Required data not reliable,682,74712
47,00,Lacked access to required human capital and talent,981,104763
47,00,Laws and regulations,483,31831
47,00,Concerns regarding safety and security (physical security and/or cyber security),618,144562
47,00,Lacked access to capital,1422,34519
47,00,Technology not applicable to this business,34678,795812
47,00,No factors adversely affected the adoption of this technology,34370,899613
48,00,Technology was too expensive,27455,759510
48,00,Lacked access to required human capital and talent,4443,439712
48,00,Technology was not mature,7939,759138
48,00,Lacked access to required data,3310,303535
48,00,Required data not reliable,1915,334698
48,00,Laws and regulations,3432,181819
48,00,Concerns regarding safety and security (physical security and/or cyber security),4393,519193
48,00,Lacked access to capital,6046,159623
48,00,Technology not applicable to this business,151175,3044132
48,00,No factors adversely affected the adoption of this technology,140131,3445368
49,00,Technology was too expensive,4049,84513
49,00,Technology was not mature,1188,75233
49,00,Lacked access to required data,421,34824
49,00,Required data not reliable,366,22313
49,00,Lacked access to required human capital and talent,802,39610
49,00,Laws and regulations,394,10958
49,00,Concerns regarding safety and security (physical security and/or cyber security),718,48503
49,00,Lacked access to capital,926,11414
49,00,Technology not applicable to this business,26763,449157
49,00,No factors adversely affected the adoption of this technology,23748,403431
50,00,Technology was not mature,274,6436
50,00,Lacked access to required data,100,1177
50,00,Required data not reliable,34,1726
50,00,Lacked access to required human capital and talent,89,2825
50,00,Laws and regulations,81,3418
50,00,Concerns regarding safety and security (physical security and/or cyber security),112,3282
50,00,Lacked access to capital,68,3166
50,00,Technology not applicable to this business,7177,73847
50,00,No factors adversely affected the adoption of this technology,5894,70414
50,00,Technology was too expensive,951,12171
53,00,Technology was too expensive,8279,353587
53,00,Technology was not mature,3234,373477
53,00,Lacked access to required data,620,183589
53,00,Required data not reliable,556,179166
53,00,Lacked access to capital,1640,160648
53,00,Lacked access to required human capital and talent,1295,237609
53,00,Laws and regulations,730,189352
53,00,Concerns regarding safety and security (physical security and/or cyber security),1345,234739
53,00,Technology not applicable to this business,62971,1052751
53,00,No factors adversely affected the adoption of this technology,50789,731420
51,00,Technology was too expensive,9008,218415
51,00,Technology was not mature,3362,228204
51,00,Lacked access to required data,713,92860
51,00,Required data not reliable,770,78751
51,00,Lacked access to required human capital and talent,1630,126987
51,00,Laws and regulations,648,58768
51,00,Concerns regarding safety and security (physical security and/or cyber security),1545,159349
51,00,Lacked access to capital,1909,54181
51,00,Technology not applicable to this business,58799,970561
51,00,No factors adversely affected the adoption of this technology,53790,1196136
54,00,Technology was too expensive,1442,31958
54,00,Technology was not mature,342,31042
54,00,Lacked access to required data,198,6202
54,00,Required data not reliable,69,11974
54,00,Lacked access to required human capital and talent,308,13352
54,00,Laws and regulations,41,8437
54,00,Concerns regarding safety and security (physical security and/or cyber security),119,25055
54,00,Lacked access to capital,398,11005
54,00,Technology not applicable to this business,9649,161903
54,00,No factors adversely affected the adoption of this technology,9616,172068
55,00,Technology was too expensive,7969,248199
55,00,Technology was not mature,2051,203458
55,00,Lacked access to required data,882,101890
55,00,Required data not reliable,639,59567
55,00,Lacked access to required human capital and talent,1414,156973
55,00,Laws and regulations,789,32935
55,00,Concerns regarding safety and security (physical security and/or cyber security),1021,100862
55,00,Lacked access to capital,1417,65282
55,00,Technology not applicable to this business,46278,788370
55,00,No factors adversely affected the adoption of this technology,42867,923313
56,00,Technology was too expensive,924,12127
56,00,Technology was not mature,405,18272
56,00,Lacked access to required data,160,2249
56,00,Required data not reliable,83,2569
56,00,Lacked access to required human capital and talent,191,5277
56,00,Laws and regulations,125,1262
56,00,No factors adversely affected the adoption of this technology,6825,78791
56,00,Concerns regarding safety and security (physical security and/or cyber security),147,9506
56,00,Lacked access to capital,237,3339
56,00,Technology not applicable to this business,6424,77900
01,11,Technology was too expensive,0,0
01,11,Technology was not mature,0,0
01,11,Lacked access to required data,0,0
01,11,Required data not reliable,0,0
01,11,Lacked access to required human capital and talent,0,0
01,11,Laws and regulations,0,0
01,11,Concerns regarding safety and security (physical security and/or cyber security),0,0
01,11,Lacked access to capital,0,0
01,11,Technology not applicable to this business,0,0
01,11,No factors adversely affected the adoption of this technology,0,0
02,11,Technology was too expensive,0,0
02,11,Technology was not mature,0,0
02,11,Laws and regulations,0,0
02,11,Lacked access to required data,0,0
02,11,Required data not reliable,0,0
02,11,Lacked access to required human capital and talent,0,0
02,11,Concerns regarding safety and security (physical security and/or cyber security),0,0
02,11,Lacked access to capital,0,0
02,11,Technology not applicable to this business,0,0
02,11,No factors adversely affected the adoption of this technology,0,0
04,11,Required data not reliable,0,0
04,11,Technology was too expensive,0,0
04,11,Technology was not mature,0,0
04,11,Lacked access to required data,0,0
04,11,Lacked access to required human capital and talent,0,0
04,11,Laws and regulations,0,0
04,11,Concerns regarding safety and security (physical security and/or cyber security),0,0
04,11,Lacked access to capital,0,0
04,11,Technology not applicable to this business,0,0
04,11,No factors adversely affected the adoption of this technology,0,0
05,11,Technology was too expensive,0,0
05,11,Technology was not mature,0,0
05,11,Lacked access to required data,0,0
05,11,Required data not reliable,0,0
05,11,Lacked access to required human capital and talent,0,0
05,11,Laws and regulations,0,0
05,11,Concerns regarding safety and security (physical security and/or cyber security),0,0
05,11,Lacked access to capital,0,0
05,11,Technology not applicable to this business,0,0
05,11,No factors adversely affected the adoption of this technology,0,0
06,11,Technology was too expensive,0,0
06,11,Technology was not mature,0,0
06,11,Lacked access to required data,0,0
06,11,Required data not reliable,0,0
06,11,Lacked access to required human capital and talent,0,0
06,11,Laws and regulations,0,0
06,11,Concerns regarding safety and security (physical security and/or cyber security),0,0
06,11,Lacked access to capital,0,0
06,11,Technology not applicable to this business,1401,127608
06,11,No factors adversely affected the adoption of this technology,914,30408
08,11,Technology was too expensive,0,0
08,11,Technology was not mature,0,0
08,11,Lacked access to required data,0,0
08,11,Required data not reliable,0,0
08,11,Lacked access to required human capital and talent,0,0
08,11,Laws and regulations,0,0
08,11,Concerns regarding safety and security (physical security and/or cyber security),0,0
08,11,Lacked access to capital,0,0
08,11,Technology not applicable to this business,0,0
08,11,No factors adversely affected the adoption of this technology,0,0
09,11,Technology was too expensive,0,0
09,11,Technology was not mature,0,0
09,11,Lacked access to required data,0,0
09,11,Required data not reliable,0,0
09,11,Lacked access to capital,0,0
09,11,Lacked access to required human capital and talent,0,0
09,11,Laws and regulations,0,0
09,11,Concerns regarding safety and security (physical security and/or cyber security),0,0
09,11,Technology not applicable to this business,0,0
09,11,No factors adversely affected the adoption of this technology,0,0
10,11,Technology was too expensive,0,0
10,11,Technology was not mature,0,0
10,11,Lacked access to required data,0,0
10,11,Required data not reliable,0,0
10,11,Lacked access to required human capital and talent,0,0
10,11,Laws and regulations,0,0
10,11,Concerns regarding safety and security (physical security and/or cyber security),0,0
10,11,Lacked access to capital,0,0
10,11,Technology not applicable to this business,0,0
10,11,No factors adversely affected the adoption of this technology,0,0
11,11,Technology was too expensive,0,0
11,11,Technology was not mature,0,0
11,11,Lacked access to required data,0,0
11,11,Required data not reliable,0,0
11,11,Lacked access to required human capital and talent,0,0
11,11,Laws and regulations,0,0
11,11,Concerns regarding safety and security (physical security and/or cyber security),0,0
11,11,Lacked access to capital,0,0
11,11,Technology not applicable to this business,0,0
11,11,No factors adversely affected the adoption of this technology,0,0
12,11,Technology was too expensive,0,0
12,11,Technology was not mature,0,0
12,11,Lacked access to required data,0,0
12,11,Required data not reliable,0,0
12,11,Lacked access to capital,0,0
12,11,Lacked access to required human capital and talent,0,0
12,11,Laws and regulations,0,0
12,11,Concerns regarding safety and security (physical security and/or cyber security),0,0
12,11,Technology not applicable to this business,0,0
12,11,No factors adversely affected the adoption of this technology,399,2988
13,11,Technology was too expensive,0,0
13,11,Technology was not mature,0,0
13,11,Lacked access to required data,0,0
13,11,Required data not reliable,0,0
13,11,Lacked access to required human capital and talent,0,0
13,11,Laws and regulations,0,0
13,11,Concerns regarding safety and security (physical security and/or cyber security),0,0
13,11,Lacked access to capital,0,0
13,11,Technology not applicable to this business,0,0
13,11,No factors adversely affected the adoption of this technology,320,3325
15,11,Concerns regarding safety and security (physical security and/or cyber security),0,0
15,11,Lacked access to capital,0,0
15,11,Technology not applicable to this business,0,0
15,11,No factors adversely affected the adoption of this technology,0,0
15,11,Technology was too expensive,0,0
15,11,Technology was not mature,0,0
15,11,Lacked access to required data,0,0
15,11,Required data not reliable,0,0
15,11,Lacked access to required human capital and talent,0,0
15,11,Laws and regulations,0,0
16,11,Technology was too expensive,0,0
16,11,Technology was not mature,0,0
16,11,Lacked access to required data,0,0
16,11,Required data not reliable,0,0
16,11,Lacked access to required human capital and talent,0,0
16,11,Laws and regulations,0,0
16,11,Concerns regarding safety and security (physical security and/or cyber security),0,0
16,11,Lacked access to capital,0,0
16,11,Technology not applicable to this business,0,0
16,11,No factors adversely affected the adoption of this technology,0,0
17,11,Technology was too expensive,0,0
17,11,Technology was not mature,0,0
17,11,Lacked access to required data,0,0
17,11,Required data not reliable,0,0
17,11,Lacked access to required human capital and talent,0,0
17,11,Laws and regulations,0,0
17,11,Concerns regarding safety and security (physical security and/or cyber security),0,0
17,11,Lacked access to capital,0,0
17,11,Technology not applicable to this business,0,0
17,11,No factors adversely affected the adoption of this technology,0,0
18,11,Laws and regulations,0,0
18,11,Concerns regarding safety and security (physical security and/or cyber security),0,0
18,11,Lacked access to capital,0,0
18,11,Technology not applicable to this business,0,0
18,11,No factors adversely affected the adoption of this technology,0,0
18,11,Technology was too expensive,0,0
18,11,Technology was not mature,0,0
18,11,Lacked access to required data,0,0
18,11,Required data not reliable,0,0
18,11,Lacked access to required human capital and talent,0,0
19,11,Technology was too expensive,0,0
19,11,Technology was not mature,0,0
19,11,Lacked access to required data,0,0
19,11,Required data not reliable,0,0
19,11,Lacked access to required human capital and talent,0,0
19,11,Laws and regulations,0,0
19,11,Concerns regarding safety and security (physical security and/or cyber security),0,0
19,11,Lacked access to capital,0,0
19,11,Technology not applicable to this business,0,0
19,11,No factors adversely affected the adoption of this technology,0,0
